STATE,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia ,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Puerto Rico
Kansas,879,291,"2,664","1,526","4,526","5,355",0,0,94,"2,944","2,403",245,97,"2,545",735,"2,467",N/A,525,402,0,672,"1,237",152,"1,192",251,"22,577",683,"2,821",247,0,900,401,"2,807","1,625",373,735,"5,607",570,465,384,176,584,"1,754","10,102",845,71,"1,812","1,885",0,125,79,308
Kentucky,"2,272",361,"1,177",756,"6,594","2,721",329,0,0,"9,255","4,845",103,0,"6,394","10,990",709,"1,503",N/A,"1,358",411,"1,087",530,"3,005",947,"1,710","2,379",30,103,695,679,572,101,"3,404","3,557",282,"13,426",600,285,"2,084",0,"1,375",318,"12,132","5,585",874,0,"3,145",313,"2,929","1,313",0,"2,194"
Louisiana,"5,658",359,857,"1,471","4,654","2,529",192,0,54,"3,597","3,280",292,464,"2,556",270,"1,315","1,497",276,N/A,35,248,"1,024","1,026",415,"8,208","1,005",606,145,112,0,552,158,"1,882","4,565",0,"1,373","1,807",607,965,170,992,118,"2,184","21,925",280,122,"2,548","1,516",586,714,162,186
Maine,471,7,257,0,"1,315",407,"1,664",26,162,"2,967",248,579,13,448,114,473,41,429,118,N/A,332,"7,799",256,224,0,"1,163",26,0,0,"5,649","1,888",160,"1,896","1,042",429,236,143,188,986,"1,150",345,0,461,610,589,661,"1,276",907,107,328,0,0
Maryland,"1,241",53,940,349,"6,348","2,210",707,"5,674","19,754","10,887","6,942","1,595",108,"1,193",468,326,655,701,406,281,N/A,"2,559","2,149",661,"1,246",515,65,427,512,61,"7,411","1,416","11,622","7,845",62,"4,295",382,522,"13,462",928,"1,651",198,"2,288","5,229",387,347,"23,926","2,176","4,744",723,0,"1,214"
Massachusetts,681,115,"2,511",388,"12,831","3,046","11,229",308,"1,398","11,295","2,517",457,96,"6,227","1,282",378,"1,021",689,890,"3,360","2,836",N/A,"1,629",561,50,"1,259",0,598,355,"10,579","5,980",799,"21,876","3,661",0,"2,259","1,180",699,"7,188","9,776","1,720",137,780,"3,446",524,"3,226","4,166","1,463",292,"1,484",166,"4,448"
Michigan,"2,287",285,"4,061",806,"8,001","2,120",912,286,642,"14,302","6,090",410,"2,441","13,818","10,775",613,669,"2,351",643,444,"2,091","2,604",N/A,"2,661","2,885","3,217","1,156",963,"1,742",384,"2,295",85,"6,627","5,848",120,"16,222",984,743,"3,144",447,"2,129",80,"5,154","10,484",718,424,"1,989","1,849",435,"5,058","1,380","1,030"
Minnesota,115,334,"4,475",484,"6,232","4,691",407,65,239,"2,999","2,468",393,407,"9,753","1,769","5,329","2,295",491,488,115,730,"1,141","2,240",N/A,137,"2,321",541,"1,973",561,175,417,255,"1,626","1,307","10,745","2,570","1,542","1,060","1,180",0,403,"5,127","1,393","4,849","1,828",40,"1,071","2,666",331,"18,683",846,60
Mississippi,"5,125",0,544,"3,244","4,317",441,101,0,182,"4,046","2,150",389,908,"3,383",814,163,203,"1,623","5,777",0,519,58,"1,298",81,N/A,"1,034",29,721,465,82,199,155,570,"2,485",24,"1,204",765,617,737,12,"1,129",0,"10,017","4,046",48,0,"1,230","1,989",260,"1,455",0,910
Missouri,"2,283","1,288","2,958","8,523","7,037","4,960",445,651,266,"5,881","3,902",508,535,"25,906","2,622","5,799","19,812","2,895","2,873",221,"1,244",688,"4,371","1,893","2,988",N/A,0,"2,764","1,194",142,630,"1,045","2,519","1,802",815,"3,333","4,221","1,734","3,053",117,"2,490",838,"4,026","11,488","1,272",61,"2,918","2,916",514,"1,828",540,684
Montana,296,608,"1,416",340,"5,173","2,521",69,0,0,714,390,18,"1,744","1,171",284,114,240,43,285,11,750,77,234,"2,089",359,158,N/A,115,979,21,0,694,142,350,"1,378",174,919,"1,636",428,0,288,160,138,"2,177","1,343",114,0,"5,132",110,939,"1,434",0
Nebraska,227,549,"1,264",568,"3,661","5,557","1,269",46,70,"2,364",861,155,442,"2,415",381,"5,863","3,393",182,126,22,669,143,660,"1,656",455,"2,193",164,N/A,589,255,852,386,585,466,676,297,751,314,483,988,502,"1,617",270,"2,702","1,064",0,935,812,45,223,"1,281",0
Nevada,394,562,"5,741",534,"45,482","3,293",499,97,0,"4,997","2,474","6,067","1,013","2,963",835,737,727,"1,268",714,493,258,391,"2,272","1,320",138,"1,151",664,492,N/A,221,"2,467","1,406","4,742","1,268",333,"1,074",221,906,"1,016",218,"1,310",777,"1,189","3,343","3,260",37,"1,307","4,639",14,889,"1,686",399
New Hampshire,174,740,678,0,953,"1,008","2,435",0,83,"2,128","1,174",360,125,144,197,237,317,0,29,"3,353",647,"21,063",409,247,368,364,32,90,398,N/A,396,0,"3,869","1,113",0,416,67,0,"1,799",932,0,0,95,"1,527",613,"2,789",696,11,297,84,0,202
New Jersey,48,299,"1,013",137,"8,239","1,364","3,884","1,809",736,"10,399","2,985",551,0,"1,633","1,147",110,560,138,567,483,"5,168","3,458","1,445",508,267,"1,410",479,290,365,112,N/A,141,"48,558","3,436",263,"2,166",285,192,"23,566",129,"1,520",318,"1,608","5,554",104,360,"5,341",534,350,330,0,"3,694"
New Mexico,732,749,"7,350",552,"4,939","4,293",305,308,105,"2,411",894,429,382,452,324,105,292,338,469,353,"1,546",482,"1,390",811,0,"1,700",170,0,"1,319",629,397,N/A,"1,638",987,0,869,"1,022",884,"1,748",3,585,10,"1,723","17,155",625,0,801,"1,843",153,332,198,92
New York,402,421,"4,971",755,"22,626","3,463","16,339","1,069","3,042","23,515","5,180","1,534",573,"8,949","2,462",375,479,"1,688","2,095","1,596","8,332","17,877","3,551","1,309",802,"2,918",132,181,435,"2,044","33,747",665,N/A,"9,471",306,"6,648","1,396","2,506","22,933","1,006","4,716",159,"3,661","9,368","1,068","3,895","10,761","4,929","1,503","2,787",83,"7,385"
North Carolina,"3,491","2,059","3,539","1,135","17,653","4,285","7,425",955,"1,737","32,234","24,882","1,365","1,267","8,568","4,211",480,"2,245","3,409","2,562","1,324","9,671","5,116","6,818","1,782","1,509","4,563",139,164,"2,111","1,548","11,706",462,"29,702",N/A,668,"9,665","2,997","1,263","13,506",897,"32,088",743,"8,233","11,981","1,271",608,"35,641","4,751","3,722","2,600",145,"1,631"
North Dakota,193,151,681,144,"1,797",500,34,0,0,230,196,16,513,631,132,149,181,86,249,0,0,62,369,"11,684",422,563,"1,307",922,183,385,576,144,133,162,N/A,174,339,347,28,0,0,"2,377",177,"1,378",38,0,251,709,144,556,342,"1,049"
Ohio,"3,101",169,"2,620",873,"11,777","3,265","1,340",452,784,"15,087","3,987",771,31,"12,463","11,578",389,"1,622","10,952","2,017",509,"2,611","2,462","13,107","2,793",605,"2,206",617,410,"2,132","1,068","4,520",551,"9,518","8,822",292,N/A,"2,210","1,483","14,425",667,"2,487",217,"7,805","8,712","1,622",435,"5,844","3,423","8,726","1,660",179,"3,059"
Oklahoma,176,328,"1,912","7,396","11,302","3,698",391,185,254,"3,155","2,542",385,595,"3,007","1,087","1,283","6,048","1,331","1,484",82,569,205,"1,577",528,865,"5,253",481,145,627,393,424,"1,011","2,051","1,909",212,"1,282",N/A,635,"1,405",0,"1,108",194,"1,309","28,060",783,61,"1,312","1,658",174,829,299,272
Oregon,167,549,"4,932",921,"43,804","3,625","1,127",159,606,"3,172",906,"3,302","4,576","2,245","1,052",215,"1,748",997,769,419,"1,678",817,993,724,235,"1,194","2,827",644,"1,631",0,978,"2,463","2,899","2,142",402,"1,421","2,185",N/A,"1,958",156,531,608,"1,168","5,377","3,246",158,"2,141","24,207",140,557,563,0
Pennsylvania,"1,978",820,"2,076",979,"12,381","3,434","6,629","5,168","1,908","12,938","5,206",588,629,"5,341","1,559",936,"1,154","1,487",513,770,"19,747","8,352","2,283","1,557",399,"1,363",171,"1,063",803,"1,259","40,118",675,"40,208","9,251",106,"10,700","1,130","2,511",N/A,"1,204","1,582",162,"2,746","12,497","2,014",604,"12,785","3,772","3,979","2,337",188,"7,005"
Rhode Island,53,0,360,91,"1,484",421,"4,252",23,177,"2,778",390,17,0,621,0,307,0,41,0,209,623,"9,077",696,141,135,87,84,196,97,923,631,0,"2,631",812,113,318,58,90,900,N/A,348,121,581,"1,079",60,337,714,399,0,325,0,40
